mass_1	mass_2	phase	time	distance	a_1	a_2	tilt_1	tilt_2	phi_12	phi_jl	theta_jn	psi	ra	dec
0.49341	0.45398	0.04504	0.79592	0.24325	0.06831	0.04909	0.02976	0.01475	0.04485	0.08467	0.41409	0.04775	0.89509	0.48077
0.49799	0.44942	0.04481	0.7936	0.24639	0.06695	0.04935	0.02953	0.01624	0.04372	0.08306	0.41858	0.04829	0.88198	0.47997
0.49421	0.44956	0.04565	0.78921	0.24583	0.06688	0.04884	0.02998	0.01536	0.04464	0.08431	0.41826	0.04862	0.88133	0.4856
0.4937	0.44463	0.04449	0.7876	0.24569	0.06696	0.04908	0.03079	0.01537	0.04484	0.08368	0.41983	0.04902	0.89467	0.4864
0.49494	0.44361	0.04438	0.79642	0.2449	0.06695	0.04759	0.03022	0.0147	0.0447	0.08322	0.4197	0.04961	0.88168	0.47451
0.49265	0.44379	0.04441	0.79851	0.24737	0.06693	0.04853	0.03059	0.01556	0.04552	0.08379	0.41698	0.04907	0.89332	0.47933
0.49301	0.44935	0.04403	0.79287	0.24684	0.06845	0.04916	0.02958	0.01508	0.0456	0.08374	0.41791	0.0496	0.89812	0.48998
0.49159	0.44586	0.04408	0.79465	0.25025	0.06649	0.04855	0.02964	0.01498	0.04395	0.08274	0.41923	0.04897	0.89651	0.48112
0.49043	0.44111	0.04425	0.78997	0.24956	0.06785	0.04728	0.03044	0.01526	0.04471	0.08352	0.41727	0.04886	0.89166	0.46593
0.49892	0.44417	0.04567	0.78193	0.25087	0.06753	0.04764	0.02986	0.0152	0.04429	0.08212	0.42004	0.04848	0.88826	0.47438
0.50126	0.44242	0.04566	0.79337	0.25043	0.06771	0.04774	0.02986	0.01609	0.04607	0.08408	0.41237	0.04976	0.89288	0.48322
0.49839	0.44206	0.04381	0.79332	0.25272	0.06791	0.04876	0.03067	0.01585	0.04455	0.08339	0.41719	0.04862	0.87906	0.47817
0.50377	0.43545	0.04571	0.80182	0.25094	0.06794	0.04777	0.02936	0.01527	0.04433	0.08301	0.42023	0.04813	0.8758	0.47337
0.50594	0.44295	0.04449	0.78504	0.2547	0.06857	0.04813	0.03119	0.01524	0.04571	0.08166	0.41702	0.04868	0.88643	0.4843
0.49954	0.44897	0.04481	0.78707	0.25362	0.06832	0.04813	0.02836	0.01552	0.0445	0.08285	0.41869	0.04816	0.88484	0.48293
0.50091	0.44304	0.04526	0.78843	0.25624	0.06732	0.04893	0.03043	0.01449	0.0451	0.08379	0.41917	0.04985	0.88886	0.47504
0.50414	0.43702	0.04588	0.79148	0.25679	0.06686	0.04763	0.02935	0.01546	0.04503	0.08059	0.41476	0.04872	0.88391	0.48595
0.5084	0.44481	0.04437	0.78514	0.2547	0.06584	0.04749	0.03126	0.01551	0.04516	0.08378	0.4151	0.04947	0.89307	0.48378
0.50992	0.43914	0.04527	0.79254	0.25869	0.0664	0.04833	0.02948	0.01534	0.04437	0.08276	0.42103	0.04822	0.9	0.4829
0.51244	0.44715	0.04585	0.79838	0.25771	0.06749	0.04928	0.02969	0.01456	0.04637	0.08424	0.42099	0.04705	0.88343	0.47669
0.51002	0.43794	0.04459	0.79746	0.25657	0.06767	0.04816	0.03021	0.01555	0.04469	0.08334	0.41629	0.04838	0.89384	0.4807
0.49991	0.44225	0.04357	0.79366	0.25775	0.06471	0.04794	0.03032	0.01492	0.04551	0.08348	0.42127	0.04687	0.91778	0.47831
0.50905	0.44613	0.04415	0.79727	0.25753	0.0664	0.04796	0.02943	0.01552	0.04577	0.08147	0.42209	0.04995	0.89484	0.48227
0.51136	0.44223	0.04447	0.78683	0.25791	0.06597	0.04752	0.03018	0.01542	0.04474	0.08482	0.42022	0.04906	0.88957	0.48034
0.51539	0.44793	0.04506	0.79341	0.25753	0.06538	0.0482	0.02914	0.0154	0.04585	0.08242	0.42106	0.04907	0.87024	0.47434
0.51879	0.44452	0.04389	0.79573	0.25742	0.06513	0.04859	0.03007	0.01523	0.04471	0.08416	0.42135	0.04854	0.86598	0.47358
0.51435	0.45138	0.04399	0.79666	0.25763	0.06724	0.04755	0.03056	0.01474	0.04522	0.08188	0.42116	0.04773	0.87351	0.476
0.51405	0.44943	0.04422	0.80251	0.25882	0.06548	0.04811	0.03026	0.01449	0.04515	0.08285	0.41972	0.04885	0.87378	0.48095
0.50737	0.45033	0.04398	0.79653	0.25834	0.06605	0.04759	0.03031	0.01549	0.04532	0.08451	0.41734	0.04748	0.88171	0.48115
0.50839	0.45253	0.04517	0.78771	0.2608	0.06515	0.04724	0.02962	0.01556	0.04423	0.08101	0.4205	0.04838	0.88448	0.47815
0.50618	0.4563	0.04448	0.78806	0.26299	0.06722	0.04804	0.03015	0.01527	0.04574	0.08128	0.42125	0.04685	0.8792	0.4842
0.51127	0.45693	0.04455	0.79348	0.25944	0.06609	0.04792	0.03066	0.01484	0.04491	0.08219	0.41954	0.04804	0.88575	0.47725
0.50297	0.45249	0.0459	0.79096	0.26126	0.06686	0.04725	0.03021	0.01553	0.04477	0.08168	0.41807	0.04811	0.88889	0.48095
0.5092	0.45628	0.04429	0.79836	0.26338	0.06652	0.04714	0.03124	0.01452	0.04531	0.08028	0.42575	0.04757	0.87884	0.47577
0.50477	0.44763	0.04345	0.78344	0.2594	0.06669	0.04715	0.0304	0.01655	0.04536	0.08158	0.41717	0.04779	0.88666	0.4766
0.50511	0.451	0.04362	0.78979	0.26129	0.06762	0.04733	0.03128	0.01504	0.04513	0.08083	0.42268	0.04704	0.89492	0.47741
0.5015	0.44873	0.044	0.79497	0.26354	0.06696	0.04808	0.031	0.0155	0.04492	0.08164	0.41699	0.04768	0.86852	0.48461
0.5049	0.45115	0.04457	0.79311	0.26331	0.06631	0.04828	0.02991	0.01475	0.04495	0.08328	0.41971	0.04777	0.89038	0.48498
0.50872	0.44801	0.04477	0.79966	0.26392	0.06707	0.04693	0.03052	0.01526	0.04316	0.08092	0.41822	0.04808	0.88649	0.48005
0.50614	0.44587	0.04399	0.79407	0.26609	0.06628	0.04778	0.02957	0.01541	0.04482	0.08232	0.41716	0.04933	0.89033	0.47243
0.50775	0.45011	0.04366	0.78795	0.26742	0.06544	0.04744	0.03137	0.01531	0.04444	0.08022	0.42053	0.04763	0.87984	0.47357
0.50798	0.4448	0.04453	0.78301	0.26605	0.06534	0.04651	0.02941	0.01594	0.04556	0.07895	0.4218	0.04871	0.91006	0.47485
0.51789	0.44666	0.0441	0.78947	0.26638	0.06473	0.04679	0.0312	0.01606	0.04522	0.0827	0.41986	0.0486	0.88827	0.47586
0.51093	0.45026	0.04411	0.79591	0.26524	0.06542	0.04806	0.03109	0.0156	0.04466	0.08115	0.41878	0.04708	0.883	0.47592
0.52136	0.44747	0.04491	0.78763	0.2682	0.06661	0.04786	0.03015	0.01595	0.04595	0.08005	0.42049	0.04783	0.89308	0.47642
0.51516	0.44904	0.04418	0.79217	0.2687	0.06604	0.04759	0.02984	0.01618	0.04545	0.08075	0.42004	0.0473	0.89156	0.47497
0.51196	0.45224	0.04575	0.79109	0.26708	0.06702	0.04734	0.0312	0.01456	0.04476	0.08109	0.41935	0.04792	0.87719	0.48483
0.51433	0.44977	0.04469	0.78511	0.26767	0.06536	0.04747	0.03032	0.01619	0.04341	0.08244	0.41761	0.04761	0.89143	0.48691
0.50142	0.45269	0.04441	0.79491	0.26828	0.06525	0.04698	0.02987	0.01629	0.04541	0.08182	0.41819	0.04814	0.89096	0.47554
0.50782	0.4515	0.04531	0.79561	0.26678	0.0641	0.04816	0.03171	0.01588	0.04482	0.08305	0.42029	0.04733	0.87716	0.47067
0.51683	0.45307	0.04458	0.80077	0.26769	0.06467	0.0484	0.0301	0.01597	0.04298	0.08078	0.4199	0.04938	0.88138	0.47507
0.51747	0.4547	0.04452	0.79211	0.26888	0.06479	0.04782	0.02986	0.01611	0.04452	0.0824	0.42025	0.04827	0.9063	0.48614
0.51562	0.44787	0.0439	0.79439	0.26729	0.06669	0.04682	0.03102	0.01497	0.04407	0.07998	0.42212	0.04782	0.8789	0.48244
0.51934	0.45364	0.04419	0.79166	0.26624	0.06543	0.04625	0.02973	0.01572	0.04469	0.08024	0.41773	0.04873	0.87404	0.47893
0.50949	0.44378	0.04505	0.7934	0.26506	0.0648	0.04764	0.0296	0.01545	0.04421	0.08011	0.421	0.04821	0.90428	0.47775
0.51915	0.44904	0.04419	0.77968	0.27178	0.06621	0.0464	0.03001	0.0152	0.044	0.08046	0.42097	0.04792	0.88496	0.47962
0.51768	0.45031	0.044	0.78633	0.26733	0.06592	0.04653	0.03058	0.01557	0.04454	0.0799	0.41836	0.04758	0.90054	0.47138
0.5075	0.44836	0.04505	0.79081	0.26703	0.0659	0.04787	0.02964	0.01546	0.04529	0.08106	0.41536	0.04786	0.88455	0.47304
0.5145	0.45485	0.04396	0.78952	0.268	0.06626	0.04711	0.02902	0.01569	0.04541	0.0816	0.41351	0.04716	0.89265	0.47532
0.52143	0.45071	0.04529	0.7929	0.27001	0.06621	0.04757	0.0295	0.01546	0.04498	0.08184	0.41812	0.04749	0.89567	0.48184
0.51811	0.45144	0.04337	0.79719	0.27004	0.06589	0.04755	0.03024	0.01581	0.04449	0.07962	0.42221	0.04761	0.85891	0.48027
0.52491	0.45629	0.04371	0.7936	0.27015	0.06581	0.0446	0.03076	0.01501	0.04566	0.08088	0.41791	0.04828	0.88152	0.46932
0.53072	0.45127	0.04396	0.79286	0.26994	0.06597	0.04711	0.03066	0.01581	0.0447	0.0805	0.42078	0.04792	0.90914	0.47965
0.52713	0.44879	0.04622	0.79679	0.2693	0.06461	0.04654	0.03074	0.01459	0.04451	0.0801	0.42025	0.04788	0.88407	0.48311
0.5252	0.45615	0.04364	0.78875	0.27303	0.06425	0.04684	0.02932	0.01511	0.04498	0.07986	0.42203	0.04836	0.88811	0.48315
0.52606	0.4516	0.04506	0.79436	0.27183	0.06482	0.04717	0.03065	0.01581	0.04523	0.08303	0.41828	0.04951	0.89502	0.47832
0.52445	0.45379	0.0446	0.78623	0.27008	0.06513	0.04607	0.03005	0.01605	0.04402	0.08037	0.41895	0.04833	0.88734	0.47032
0.51813	0.45141	0.04476	0.79192	0.27015	0.06607	0.04715	0.03033	0.01574	0.04491	0.07963	0.41712	0.04837	0.87561	0.47525
0.51725	0.45082	0.04388	0.80164	0.27291	0.0648	0.04626	0.03123	0.01572	0.04426	0.07919	0.42242	0.04917	0.89851	0.48702
0.52537	0.45545	0.04429	0.79196	0.27224	0.06446	0.04743	0.03129	0.0152	0.04411	0.08071	0.4198	0.04915	0.89085	0.48885
0.52135	0.46442	0.04447	0.79111	0.2699	0.0658	0.04745	0.0309	0.01601	0.04561	0.07958	0.42086	0.04705	0.88384	0.47634
0.52084	0.4496	0.04335	0.78939	0.27291	0.06538	0.0474	0.03031	0.01574	0.04436	0.08014	0.4226	0.04782	0.89582	0.47219
0.52528	0.45553	0.04422	0.79491	0.27422	0.06457	0.04804	0.03076	0.01609	0.04461	0.08224	0.41725	0.04894	0.87517	0.47148
0.524	0.45615	0.04313	0.79243	0.27164	0.0658	0.04588	0.02986	0.01498	0.04609	0.07949	0.42298	0.04817	0.88435	0.47904
0.52076	0.45178	0.04371	0.79396	0.27249	0.06414	0.04833	0.02999	0.01599	0.04475	0.08119	0.42285	0.04712	0.89239	0.48736
0.5245	0.44883	0.04454	0.78885	0.27244	0.06442	0.04596	0.03075	0.01579	0.045	0.07951	0.42169	0.04659	0.8786	0.47443
0.52751	0.45265	0.04382	0.79881	0.27528	0.0654	0.04789	0.03075	0.01564	0.0449	0.07981	0.41703	0.04791	0.89819	0.47288
0.52305	0.45507	0.04428	0.80405	0.27499	0.06499	0.04728	0.03042	0.01571	0.04481	0.07973	0.42214	0.04936	0.87451	0.47807
0.51876	0.45428	0.04435	0.79242	0.27284	0.0643	0.04709	0.03099	0.01573	0.04541	0.08064	0.42025	0.04768	0.8928	0.48107
0.52473	0.45522	0.04471	0.79399	0.27383	0.06555	0.04651	0.03073	0.01544	0.04399	0.08021	0.42487	0.04893	0.87313	0.48899
0.52507	0.4528	0.04452	0.79144	0.2731	0.06378	0.04664	0.03061	0.01597	0.0453	0.08107	0.41858	0.04613	0.8796	0.48067
0.52366	0.45081	0.04479	0.79458	0.27387	0.06559	0.04729	0.03067	0.01542	0.04493	0.08095	0.4215	0.04681	0.88115	0.47398
0.52257	0.45158	0.04468	0.79787	0.27562	0.06401	0.04675	0.03036	0.01484	0.04477	0.0808	0.41918	0.04665	0.87755	0.47792
0.52814	0.45678	0.04338	0.80206	0.27464	0.06534	0.04648	0.03062	0.01597	0.04436	0.07878	0.42289	0.04757	0.87046	0.47573
0.52715	0.4499	0.0447	0.79909	0.271	0.06465	0.04763	0.02982	0.01543	0.04352	0.07955	0.41989	0.04757	0.90047	0.47709
0.52649	0.45966	0.04408	0.7965	0.27354	0.06659	0.04712	0.03072	0.01551	0.04345	0.07995	0.42102	0.04673	0.88257	0.47125
0.52598	0.45566	0.04496	0.79229	0.27654	0.06408	0.04683	0.02979	0.01542	0.0437	0.07612	0.42368	0.04657	0.89105	0.47897
0.51866	0.44716	0.04307	0.79374	0.27404	0.06499	0.04752	0.03019	0.01635	0.04406	0.0798	0.42109	0.046	0.88853	0.48653
0.5184	0.45176	0.04472	0.78019	0.27456	0.06364	0.0476	0.03011	0.01566	0.04326	0.07923	0.41701	0.04792	0.88093	0.47614
