mass_ratio	chirp_mass	luminosity_distance	dec	ra	theta_jn	psi	phase	a_1	a_2	tilt_1	tilt_2	phi_12	phi_jl	geocent_time
0.28852	0.42236	0.2676	0.78945	0.59831	0.48209	0.12085	0.12531	0.2381	0.19945	0.19121	0.18919	0.12774	0.14588	0.8468
0.27472	0.42241	0.26821	0.79041	0.57674	0.46768	0.1175	0.12249	0.25836	0.21605	0.19446	0.16475	0.13074	0.11326	0.83188
0.27986	0.42191	0.28932	0.77606	0.58046	0.47127	0.12984	0.12851	0.21906	0.20869	0.18848	0.18956	0.12509	0.12371	0.85816
0.30309	0.41555	0.28622	0.77277	0.57687	0.46411	0.14478	0.13194	0.23925	0.22451	0.18169	0.18761	0.12496	0.12913	0.86188
0.27852	0.42631	0.30393	0.74751	0.56935	0.44549	0.1499	0.12513	0.26036	0.20895	0.19022	0.17166	0.13341	0.1469	0.85773
0.2726	0.39276	0.29833	0.74982	0.5384	0.47517	0.13302	0.11647	0.23404	0.2241	0.18047	0.19085	0.13333	0.14126	0.84601
0.24329	0.41603	0.29395	0.77817	0.55074	0.44917	0.14667	0.12872	0.24452	0.23699	0.20169	0.19489	0.12988	0.13768	0.80745
0.27593	0.4372	0.30884	0.78885	0.53483	0.46574	0.11841	0.12929	0.22852	0.22676	0.17002	0.16741	0.13278	0.14331	0.82973
0.27149	0.42462	0.29534	0.76489	0.54718	0.45672	0.1255	0.12844	0.22905	0.21289	0.20019	0.17772	0.15349	0.1334	0.83662
0.29996	0.42147	0.29392	0.78364	0.58804	0.44879	0.14188	0.11187	0.25806	0.19951	0.18952	0.1929	0.12512	0.13309	0.83134
0.28944	0.45439	0.27346	0.75851	0.62941	0.3974	0.13357	0.14026	0.23987	0.20008	0.19062	0.16813	0.12777	0.13632	0.83427
0.29022	0.44316	0.27625	0.76682	0.5884	0.44922	0.12747	0.12077	0.23927	0.19963	0.17767	0.17981	0.13984	0.13424	0.82832
0.26234	0.42183	0.28824	0.77529	0.60534	0.47	0.11456	0.13036	0.21624	0.21866	0.18956	0.18328	0.13273	0.13401	0.83141
0.25649	0.41192	0.26773	0.79229	0.58133	0.50382	0.13338	0.12886	0.22637	0.22728	0.21609	0.18216	0.14276	0.14696	0.85635
0.27464	0.43117	0.28817	0.80056	0.59271	0.49935	0.12535	0.13857	0.23767	0.22739	0.20323	0.19917	0.13531	0.13235	0.84624
0.26981	0.47349	0.29975	0.82593	0.54602	0.4868	0.12809	0.13027	0.24014	0.23121	0.19877	0.19607	0.14369	0.12805	0.86386
0.27713	0.44271	0.27585	0.77912	0.57815	0.46575	0.12839	0.13621	0.27768	0.2022	0.18937	0.20312	0.13299	0.11595	0.86274
0.302	0.41999	0.27208	0.77862	0.59668	0.41677	0.12276	0.12755	0.27082	0.21038	0.2119	0.2027	0.12869	0.14101	0.84723
0.28578	0.46072	0.27783	0.76174	0.60139	0.45518	0.1417	0.12682	0.28641	0.20173	0.20996	0.20508	0.13339	0.1383	0.82176
0.28119	0.43455	0.26971	0.76858	0.5667	0.44988	0.12407	0.14048	0.23614	0.18714	0.18303	0.23075	0.123	0.13454	0.84159
0.28016	0.45959	0.28979	0.7926	0.58088	0.48445	0.12436	0.13585	0.25799	0.19361	0.21177	0.1963	0.13759	0.13033	0.84545
0.28528	0.42632	0.29652	0.80386	0.59572	0.46074	0.14142	0.13847	0.22942	0.19935	0.18238	0.1856	0.14006	0.13187	0.86093
0.26936	0.43041	0.26592	0.80216	0.58875	0.43522	0.12441	0.12437	0.24801	0.2183	0.17845	0.18191	0.12717	0.1374	0.86536
