mass_ratio	chirp_mass	luminosity_distance	dec	ra	theta_jn	psi	phase	a_1	a_2	tilt_1	tilt_2	phi_12	phi_jl	geocent_time
0.43941	0.43334	0.35291	0.79897	0.4918	0.52823	0.13387	0.12522	0.20689	0.29089	0.23268	0.20115	0.13483	0.1562	0.84292
0.41375	0.43463	0.3382	0.82124	0.50799	0.37499	0.10392	0.14489	0.25834	0.22713	0.19513	0.16641	0.1342	0.12122	0.87299
0.39333	0.43095	0.33981	0.77461	0.51753	0.47078	0.11491	0.13222	0.20252	0.22218	0.21187	0.16933	0.1341	0.1341	0.83754
0.35205	0.44181	0.3722	0.70527	0.54237	0.43386	0.12359	0.13025	0.22482	0.21642	0.22692	0.17874	0.14893	0.18212	0.79433
0.29202	0.48703	0.33078	0.77896	0.51814	0.50251	0.16434	0.15095	0.22599	0.21865	0.18251	0.17988	0.14811	0.08787	0.84747
0.24283	0.47466	0.3275	0.74456	0.52303	0.47408	0.11726	0.16426	0.19502	0.25159	0.19438	0.14718	0.13823	0.1409	0.83332
0.30165	0.44763	0.30417	0.7878	0.54512	0.46843	0.08936	0.15278	0.18203	0.20334	0.20286	0.21956	0.12489	0.11403	0.84505
0.32862	0.44365	0.34346	0.78851	0.51816	0.41618	0.17911	0.08497	0.24569	0.21958	0.21493	0.19767	0.13009	0.12111	0.84021
0.34495	0.38815	0.29779	0.78987	0.50934	0.50968	0.11619	0.10422	0.18635	0.2056	0.13369	0.16639	0.13449	0.11677	0.83954
0.23943	0.41961	0.33675	0.77848	0.54993	0.55569	0.13341	0.11705	0.23792	0.18067	0.19735	0.2013	0.1189	0.12693	0.85177
0.35361	0.41807	0.31532	0.67957	0.53731	0.43858	0.13757	0.09344	0.22874	0.20057	0.17117	0.18652	0.12791	0.13745	0.82409
0.33629	0.41876	0.28723	0.77859	0.57257	0.4318	0.15995	0.06944	0.17518	0.20117	0.19471	0.14345	0.13576	0.09348	0.8476
0.33155	0.43816	0.32807	0.7737	0.53214	0.44483	0.14235	0.1351	0.19802	0.24708	0.23679	0.16301	0.12768	0.13886	0.84425
0.3727	0.48921	0.31848	0.76792	0.52629	0.54935	0.12452	0.1911	0.24769	0.19808	0.19134	0.18655	0.1429	0.16773	0.85373
0.32268	0.44021	0.28866	0.81729	0.54457	0.44719	0.14849	0.14283	0.17911	0.23848	0.20668	0.19144	0.13965	0.11924	0.85544
0.32614	0.43391	0.32222	0.80927	0.61468	0.56191	0.13945	0.12662	0.24359	0.21886	0.20139	0.15251	0.13863	0.1175	0.83583
0.30581	0.40243	0.33678	0.74765	0.51485	0.44803	0.14355	0.10373	0.27232	0.32135	0.20635	0.19886	0.12229	0.14051	0.85948
0.26995	0.41981	0.34426	0.77413	0.55231	0.51469	0.12413	0.11127	0.21425	0.16301	0.19436	0.18495	0.1518	0.13881	0.85888
0.26136	0.44445	0.319	0.7688	0.49277	0.45205	0.13141	0.12994	0.25322	0.18519	0.17385	0.18706	0.14841	0.11413	0.84818
0.31183	0.41641	0.2699	0.75785	0.55735	0.47422	0.12024	0.16713	0.23306	0.21345	0.12021	0.17311	0.14619	0.13731	0.81096
0.32861	0.45439	0.31896	0.72477	0.54013	0.50116	0.1222	0.16088	0.1693	0.17106	0.22786	0.17537	0.12569	0.14298	0.86673
0.34259	0.47518	0.29174	0.72301	0.50241	0.50607	0.12075	0.1695	0.24205	0.26963	0.17178	0.17801	0.1477	0.1354	0.84507
0.38235	0.43108	0.30305	0.71981	0.56168	0.48923	0.17789	0.12524	0.23687	0.23769	0.20108	0.14978	0.08972	0.12348	0.82783
0.31325	0.50043	0.24353	0.75678	0.51624	0.53686	0.14219	0.18095	0.21738	0.22477	0.18515	0.19739	0.13625	0.13343	0.84201
0.35007	0.48053	0.34021	0.70346	0.55676	0.4493	0.11895	0.15089	0.22956	0.19965	0.20243	0.19684	0.18101	0.11398	0.82529
0.24282	0.39668	0.33982	0.76377	0.47657	0.48623	0.14068	0.1504	0.16849	0.22656	0.22662	0.18618	0.08879	0.12344	0.82113
0.29662	0.47558	0.33783	0.69458	0.62922	0.51544	0.14272	0.16179	0.25413	0.19548	0.16902	0.16651	0.13743	0.12161	0.86195
0.33113	0.43978	0.3665	0.77192	0.62418	0.44745	0.10768	0.13095	0.16522	0.21434	0.16662	0.17914	0.15084	0.134	0.8319
0.34511	0.45253	0.33117	0.76096	0.50298	0.48121	0.15565	0.16349	0.22412	0.36308	0.21136	0.21258	0.15235	0.10006	0.8494
0.34029	0.43321	0.3673	0.75046	0.51506	0.41134	0.16315	0.1488	0.1994	0.31293	0.21148	0.19682	0.13427	0.13611	0.84147
0.34854	0.41812	0.29697	0.75899	0.55898	0.42038	0.14019	0.15608	0.20805	0.24762	0.20446	0.15594	0.15628	0.12489	0.83455
0.27942	0.41278	0.32645	0.78994	0.51213	0.42313	0.1049	0.13083	0.24653	0.16095	0.15217	0.23686	0.12945	0.14176	0.85685
0.2271	0.46431	0.35835	0.75138	0.49436	0.41682	0.13513	0.13828	0.20583	0.25011	0.17648	0.20814	0.15465	0.11695	0.85022
0.34445	0.44753	0.32362	0.71736	0.57785	0.56941	0.09996	0.14933	0.19908	0.24139	0.19615	0.20516	0.11984	0.12027	0.82203
0.34157	0.44945	0.32308	0.78003	0.57033	0.499	0.12965	0.13961	0.20079	0.2812	0.2199	0.19978	0.09753	0.0926	0.84372
0.26603	0.41893	0.29849	0.75485	0.55539	0.51037	0.13639	0.13474	0.20166	0.24721	0.16828	0.20386	0.12218	0.08434	0.83103
0.36644	0.41491	0.35328	0.77532	0.49021	0.47621	0.12132	0.14762	0.18111	0.15575	0.23546	0.17531	0.13638	0.13189	0.8602
0.34112	0.37355	0.41155	0.77394	0.52575	0.606	0.11663	0.12436	0.19768	0.22561	0.16515	0.19532	0.10962	0.16224	0.84915
0.27968	0.40223	0.32208	0.68736	0.56796	0.42645	0.12328	0.1184	0.1818	0.13576	0.17514	0.2098	0.15787	0.13045	0.83027
0.26418	0.44992	0.29597	0.76724	0.60007	0.56971	0.11752	0.10401	0.16626	0.15285	0.1812	0.17639	0.1023	0.11946	0.84689
0.18697	0.4358	0.35976	0.73385	0.48855	0.43868	0.11996	0.12324	0.20364	0.17228	0.18289	0.17118	0.13695	0.09566	0.81363
0.22074	0.45469	0.29098	0.76345	0.52977	0.57378	0.19019	0.15411	0.21702	0.19015	0.2555	0.21383	0.14411	0.1692	0.87742
0.26758	0.47594	0.30338	0.77053	0.51628	0.51659	0.14624	0.09499	0.23216	0.22255	0.24327	0.15572	0.13253	0.11774	0.86936
0.28904	0.4009	0.32639	0.79926	0.44316	0.50363	0.12439	0.16047	0.23319	0.20819	0.17427	0.15914	0.14423	0.11706	0.85084
0.31227	0.45168	0.32288	0.73957	0.54895	0.54668	0.12556	0.12806	0.22778	0.23756	0.21195	0.24183	0.12927	0.10296	0.85211
0.35809	0.43361	0.36543	0.80372	0.54412	0.51558	0.13107	0.1257	0.19634	0.27032	0.21148	0.20953	0.13539	0.10052	0.84643
0.38033	0.42963	0.32871	0.79013	0.54193	0.40956	0.1124	0.10707	0.22223	0.17589	0.16849	0.27871	0.17957	0.15736	0.86727
0.30147	0.48476	0.34255	0.67542	0.52523	0.45108	0.17901	0.12538	0.22969	0.22653	0.24168	0.24428	0.10153	0.12717	0.87067
0.32519	0.39233	0.33865	0.72201	0.51041	0.49153	0.12279	0.12959	0.16403	0.13893	0.19195	0.19198	0.10245	0.12429	0.83467
0.35942	0.40948	0.28777	0.73501	0.56892	0.36989	0.13256	0.11071	0.17325	0.23094	0.17216	0.21592	0.13405	0.13977	0.86844
0.39508	0.43181	0.37077	0.74851	0.52072	0.55498	0.17827	0.15755	0.20474	0.16436	0.21159	0.2238	0.12796	0.12727	0.84035
0.42141	0.41327	0.30052	0.75638	0.5052	0.431	0.15102	0.15917	0.17848	0.18687	0.19622	0.16446	0.12551	0.11464	0.82608
0.3109	0.43984	0.33155	0.80033	0.64299	0.48867	0.16475	0.10478	0.12772	0.19197	0.22744	0.16027	0.09241	0.11735	0.84783
0.24292	0.47981	0.37307	0.7958	0.49323	0.55003	0.13309	0.15132	0.28938	0.21786	0.25297	0.15325	0.16526	0.13186	0.88822
0.35419	0.35008	0.32947	0.6847	0.53608	0.46778	0.1457	0.13475	0.20647	0.20196	0.18495	0.2093	0.10663	0.11418	0.85436
0.26347	0.40883	0.31322	0.7279	0.49601	0.42908	0.11269	0.15588	0.24032	0.20629	0.19398	0.2024	0.13113	0.13032	0.81056
0.25602	0.39019	0.33373	0.78374	0.53802	0.55805	0.13435	0.14212	0.20566	0.28482	0.16133	0.17253	0.12207	0.09971	0.83541
0.2507	0.39645	0.31197	0.75254	0.4928	0.54598	0.15897	0.11648	0.21199	0.241	0.18732	0.26966	0.10844	0.11953	0.87092
