# Freq (Hz)	LIGO_Hanford_PSD (1/Hz)	LIGO_Livingston_PSD (1/Hz)	
49.750000	2.0637280e-46	6.4000750e-46
49.875000	2.0537250e-46	6.3582250e-46
50.000000	2.0438650e-46	6.3171250e-46
50.125000	2.0340800e-46	6.2767000e-46
50.250000	2.0243500e-46	6.2366250e-46
50.375000	2.0147300e-46	6.1967750e-46
50.500000	2.0052370e-46	6.1582000e-46
50.625000	1.9957530e-46	6.1193750e-46
50.750000	1.9863550e-46	6.0813750e-46
50.875000	1.9768820e-46	6.0443250e-46
51.000000	1.9675130e-46	6.0080750e-46
51.125000	1.9582830e-46	5.9710750e-46
51.250000	1.9491630e-46	5.9351750e-46
51.375000	1.9400780e-46	5.8994000e-46
51.500000	1.9311780e-46	5.8644250e-46
51.625000	1.9221550e-46	5.8291250e-46
51.750000	1.9132020e-46	5.7948750e-46
51.875000	1.9042850e-46	5.7607500e-46
52.000000	1.8956200e-46	5.7273750e-46
52.125000	1.8868750e-46	5.6943750e-46
52.250000	1.8783100e-46	5.6620500e-46
52.375000	1.8698630e-46	5.6293500e-46
52.500000	1.8614070e-46	5.5976500e-46
52.625000	1.8529350e-46	5.5660500e-46
52.750000	1.8445670e-46	5.5347000e-46
52.875000	1.8361820e-46	5.5038250e-46
53.000000	1.8278550e-46	5.4732000e-46
53.125000	1.8196350e-46	5.4428500e-46
53.250000	1.8114770e-46	5.4129500e-46
53.375000	1.8033520e-46	5.3832500e-46
53.500000	1.7952500e-46	5.3541750e-46
53.625000	1.7872120e-46	5.3253000e-46
53.750000	1.7792320e-46	5.2967250e-46
53.875000	1.7712950e-46	5.2684000e-46
54.000000	1.7634180e-46	5.2404000e-46
54.125000	1.7556470e-46	5.2126750e-46
54.250000	1.7479630e-46	5.1854750e-46
54.375000	1.7402850e-46	5.1583750e-46
54.500000	1.7325820e-46	5.1312500e-46
54.625000	1.7250350e-46	5.1043500e-46
54.750000	1.7175300e-46	5.0778500e-46
54.875000	1.7101120e-46	5.0516250e-46
55.000000	1.7080880e-46	5.0287000e-46
55.125000	1.7034050e-46	5.0045750e-46
55.250000	1.6978200e-46	4.9800000e-46
55.375000	1.6926600e-46	4.9556000e-46
55.500000	1.6878650e-46	4.9317000e-46
55.625000	1.6835370e-46	4.9081750e-46
55.750000	1.6799280e-46	4.8858500e-46
55.875000	1.6768870e-46	4.8636250e-46
56.000000	1.6747600e-46	4.8420000e-46
56.125000	1.6741600e-46	4.8206750e-46
56.250000	1.6750700e-46	4.8003750e-46
56.375000	1.6781050e-46	4.7807000e-46
56.500000	1.6835880e-46	4.7626000e-46
56.625000	1.6928750e-46	4.7454750e-46
56.750000	1.7076330e-46	4.7299500e-46
56.875000	1.7388180e-46	4.7156500e-46
57.000000	1.7367600e-46	4.7040250e-46
57.125000	1.7502670e-46	4.6954500e-46
57.250000	1.7728780e-46	4.6895250e-46
57.375000	1.8068420e-46	4.6882250e-46
57.500000	1.8542500e-46	4.6922000e-46
57.625000	1.9173150e-46	4.7030750e-46
57.750000	1.9998020e-46	4.7233000e-46
57.875000	2.1070800e-46	4.7551750e-46
58.000000	2.2473600e-46	4.8024500e-46
58.125000	2.4322420e-46	4.8705000e-46
58.250000	2.6779500e-46	4.9674000e-46
58.375000	3.0089250e-46	5.1033000e-46
58.500000	3.4630500e-46	5.2906250e-46
58.625000	4.0979750e-46	5.5575500e-46
58.750000	4.9984250e-46	5.9404750e-46
58.875000	6.0257250e-46	6.3815500e-46
59.000000	7.3392750e-46	6.9398250e-46
59.125000	9.2079750e-46	7.7779000e-46
59.250000	1.2081370e-45	9.0759750e-46
59.375000	1.6878180e-45	1.1275300e-45
59.500000	2.5889250e-45	1.5374750e-45
59.625000	4.5783750e-45	2.4363700e-45
59.750000	1.0539120e-44	5.1052250e-45
59.875000	4.8131250e-44	2.1108270e-44
60.000000	6.2183500e-43	2.9478250e-43
60.125000	2.5714000e-44	1.3287550e-44
60.250000	7.7663000e-45	4.1150000e-45
60.375000	3.7255000e-45	2.1188580e-45
60.500000	2.2065050e-45	1.3861380e-45
60.625000	1.4791930e-45	1.0347150e-45
60.750000	1.0778270e-45	8.3943750e-46
60.875000	8.2920250e-46	7.2001000e-46
61.000000	6.6271000e-46	6.4144000e-46
61.125000	5.4403250e-46	5.8675250e-46
61.250000	4.4417000e-46	5.4071750e-46
61.375000	3.6491000e-46	5.0274000e-46
61.500000	3.0869000e-46	4.7540750e-46
61.625000	2.6804250e-46	4.5507250e-46
61.750000	2.3784400e-46	4.3940250e-46
61.875000	2.1513600e-46	4.2719500e-46
62.000000	1.9778830e-46	4.1771750e-46
62.125000	1.8436920e-46	4.1001750e-46
62.250000	1.7383580e-46	4.0366000e-46
62.375000	1.6551530e-46	3.9830500e-46
62.500000	1.5885900e-46	3.9382000e-46
62.625000	1.5346650e-46	3.8991750e-46
62.750000	1.4909550e-46	3.8653500e-46
62.875000	1.4547720e-46	3.8349750e-46
63.000000	1.4249170e-46	3.8077000e-46
63.125000	1.4001400e-46	3.7824250e-46
63.250000	1.3793580e-46	3.7593000e-46
63.375000	1.3616750e-46	3.7376500e-46
63.500000	1.3467330e-46	3.7172500e-46
63.625000	1.3335620e-46	3.6975000e-46
63.750000	1.3220530e-46	3.6787500e-46
63.875000	1.3118100e-46	3.6605750e-46
64.000000	1.3028530e-46	3.6430500e-46
64.125000	1.2944750e-46	3.6261500e-46
64.250000	1.2866450e-46	3.6098500e-46
64.375000	1.2794750e-46	3.5938500e-46
64.500000	1.2728800e-46	3.5780750e-46
64.625000	1.2666100e-46	3.5626000e-46
64.750000	1.2550150e-46	3.5441000e-46
64.875000	1.2488730e-46	3.5285000e-46
65.000000	1.2444900e-46	3.5142500e-46
65.125000	1.2401750e-46	3.5001500e-46
65.250000	1.2358680e-46	3.4862000e-46
65.375000	1.2315930e-46	3.4723250e-46
65.500000	1.2273450e-46	3.4584750e-46
65.625000	1.2231770e-46	3.4446500e-46
65.750000	1.2190180e-46	3.4309500e-46
65.875000	1.2148450e-46	3.4174250e-46
66.000000	1.2107080e-46	3.4037750e-46
66.125000	1.2066170e-46	3.3903000e-46
66.250000	1.2026180e-46	3.3770500e-46
66.375000	1.1985750e-46	3.3637250e-46
66.500000	1.1945550e-46	3.3505000e-46
66.625000	1.1905650e-46	3.3374000e-46
66.750000	1.1866000e-46	3.3246000e-46
66.875000	1.1826900e-46	3.3113000e-46
67.000000	1.1788050e-46	3.2982500e-46
67.125000	1.1749600e-46	3.2854750e-46
67.250000	1.1711270e-46	3.2727250e-46
67.375000	1.1673200e-46	3.2600250e-46
67.500000	1.1635100e-46	3.2473750e-46
67.625000	1.1597550e-46	3.2347500e-46
67.750000	1.1559950e-46	3.2222500e-46
67.875000	1.1522830e-46	3.2098000e-46
68.000000	1.1485900e-46	3.1974500e-46
68.125000	1.1449100e-46	3.1851750e-46
68.250000	1.1412930e-46	3.1729250e-46
68.375000	1.1376570e-46	3.1608500e-46
68.500000	1.1340770e-46	3.1488750e-46
68.625000	1.1304530e-46	3.1368750e-46
68.750000	1.1268800e-46	3.1249000e-46
68.875000	1.1233320e-46	3.1131000e-46
69.000000	1.1198270e-46	3.1013250e-46
69.125000	1.1163380e-46	3.0895000e-46
69.250000	1.1128330e-46	3.0778250e-46
69.375000	1.1093800e-46	3.0662000e-46
69.500000	1.1059850e-46	3.0547750e-46
69.625000	1.1025820e-46	3.0434000e-46
69.750000	1.0991750e-46	3.0321000e-46
69.875000	1.0958350e-46	3.0208250e-46
70.000000	1.0925180e-46	3.0095750e-46
70.125000	1.0891650e-46	2.9985250e-46
70.250000	1.0858900e-46	2.9875500e-46
70.375000	1.0826150e-46	2.9765750e-46
70.500000	1.0793250e-46	2.9657250e-46
70.625000	1.0761000e-46	2.9548500e-46
70.750000	1.0729070e-46	2.9441000e-46
70.875000	1.0697100e-46	2.9334750e-46
71.000000	1.0664930e-46	2.9229500e-46
71.125000	1.0633200e-46	2.9129000e-46
71.250000	1.0601650e-46	2.9025750e-46
71.375000	1.0570520e-46	2.8925500e-46
71.500000	1.0539500e-46	2.8824500e-46
71.625000	1.0508830e-46	2.8724750e-46
71.750000	1.0478100e-46	2.8624000e-46
71.875000	1.0447330e-46	2.8524750e-46
72.000000	1.0416500e-46	2.8416250e-46
72.125000	1.0386180e-46	2.8308500e-46
72.250000	1.0355720e-46	2.8200250e-46
72.375000	1.0326030e-46	2.8092250e-46
72.500000	1.0296700e-46	2.7987750e-46
72.625000	1.0267250e-46	2.7882000e-46
72.750000	1.0238480e-46	2.7780500e-46
72.875000	1.0209530e-46	2.7679500e-46
73.000000	1.0180950e-46	2.7579000e-46
73.125000	1.0152550e-46	2.7479500e-46
73.250000	1.0124000e-46	2.7382500e-46
73.375000	1.0095880e-46	2.7286000e-46
73.500000	1.0068130e-46	2.7188750e-46
73.625000	1.0039950e-46	2.7092000e-46
73.750000	1.0012350e-46	2.6996250e-46
73.875000	9.9845500e-47	2.6901000e-46
74.000000	9.9570000e-47	2.6806500e-46
74.125000	9.9295750e-47	2.6711500e-46
74.250000	9.9028000e-47	2.6617250e-46
74.375000	9.8760250e-47	2.6524250e-46
74.500000	9.8496500e-47	2.6432250e-46
74.625000	9.8236000e-47	2.6340000e-46
74.750000	9.7964000e-47	2.6249250e-46
74.875000	9.7701000e-47	2.6158500e-46
75.000000	9.7438750e-47	2.6068000e-46
75.125000	9.7180250e-47	2.5977750e-46
75.250000	9.6920500e-47	2.5888250e-46
75.375000	9.6662750e-47	2.5798750e-46
75.500000	9.6407750e-47	2.5710000e-46
75.625000	9.6151000e-47	2.5621750e-46
75.750000	9.5897250e-47	2.5533250e-46
75.875000	9.5644000e-47	2.5446250e-46
76.000000	9.5391000e-47	2.5359000e-46
76.125000	9.5142500e-47	2.5272000e-46
76.250000	9.4895750e-47	2.5186000e-46
76.375000	9.4651750e-47	2.5100750e-46
76.500000	9.4409000e-47	2.5016500e-46
76.625000	9.4162250e-47	2.4932500e-46
76.750000	9.3922500e-47	2.4848350e-46
76.875000	9.3684750e-47	2.4765270e-46
77.000000	9.3449500e-47	2.4682470e-46
77.125000	9.3213750e-47	2.4600650e-46
77.250000	9.2975000e-47	2.4518400e-46
77.375000	9.2741750e-47	2.4436730e-46
77.500000	9.2508750e-47	2.4355720e-46
77.625000	9.2279250e-47	2.4275230e-46
77.750000	9.2048500e-47	2.4194830e-46
77.875000	9.1816750e-47	2.4114830e-46
78.000000	9.1590250e-47	2.4035050e-46
78.125000	9.1364500e-47	2.3956150e-46
78.250000	9.1140000e-47	2.3877880e-46
78.375000	9.0918750e-47	2.3799420e-46
78.500000	9.0694000e-47	2.3721980e-46
78.625000	9.0476750e-47	2.3644450e-46
78.750000	9.0257750e-47	2.3567420e-46
78.875000	9.0042250e-47	2.3490300e-46
79.000000	8.9825250e-47	2.3413650e-46
79.125000	8.9609500e-47	2.3338280e-46
79.250000	8.9395750e-47	2.3263300e-46
79.375000	8.9184750e-47	2.3188900e-46
79.500000	8.8974250e-47	2.3113950e-46
79.625000	8.8762250e-47	2.3040300e-46
79.750000	8.8554250e-47	2.2967600e-46
79.875000	8.8347750e-47	2.2893400e-46
80.000000	8.8142750e-47	2.2819920e-46
80.125000	8.7938500e-47	2.2747720e-46
80.250000	8.7735750e-47	2.2675630e-46
80.375000	8.7531250e-47	2.2603220e-46
80.500000	8.7330750e-47	2.2531900e-46
80.625000	8.7127500e-47	2.2460420e-46
80.750000	8.6928000e-47	2.2389330e-46
80.875000	8.6731250e-47	2.2318480e-46
81.000000	8.6533500e-47	2.2248150e-46
81.125000	8.6337000e-47	2.2178150e-46
81.250000	8.6141000e-47	2.2108380e-46
81.375000	8.5948500e-47	2.2038980e-46
81.500000	8.5757250e-47	2.1969600e-46
81.625000	8.5567250e-47	2.1901050e-46
81.750000	8.5377000e-47	2.1833150e-46
81.875000	8.5187250e-47	2.1765880e-46
82.000000	8.5000750e-47	2.1698600e-46
82.125000	8.4817750e-47	2.1631450e-46
82.250000	8.4634000e-47	2.1564850e-46
82.375000	8.4450500e-47	2.1499330e-46
82.500000	8.4270000e-47	2.1432850e-46
82.625000	8.4087750e-47	2.1367330e-46
82.750000	8.3907250e-47	2.1301720e-46
82.875000	8.3727000e-47	2.1236450e-46
83.000000	8.3547000e-47	2.1171150e-46
83.125000	8.3370000e-47	2.1106370e-46
83.250000	8.3192250e-47	2.1042000e-46
83.375000	8.3014750e-47	2.0978370e-46
83.500000	8.2839500e-47	2.0915050e-46
83.625000	8.2667000e-47	2.0853550e-46
83.750000	8.2496250e-47	2.0792700e-46
83.875000	8.2328500e-47	2.0738980e-46
84.000000	8.2156250e-47	2.0668530e-46
84.125000	8.1989500e-47	2.0604000e-46
84.250000	8.1822250e-47	2.0540420e-46
84.375000	8.1657750e-47	2.0478330e-46
84.500000	8.1494000e-47	2.0416850e-46
84.625000	8.1329750e-47	2.0355050e-46
84.750000	8.1165250e-47	2.0294000e-46
84.875000	8.1003000e-47	2.0233550e-46
85.000000	8.0843250e-47	2.0173500e-46
