# Freq (Hz)	LIGO_Hanford_PSD (1/Hz)	LIGO_Livingston_PSD (1/Hz)	Virgo_PSD (1/Hz)
78.000000	1.8752600e-46	6.4389000e-47	3.6248350e-46
78.250000	1.8634900e-46	6.4231000e-47	3.5940150e-46
78.500000	1.8519900e-46	6.4066000e-47	3.5627800e-46
78.750000	1.8406200e-46	6.3909500e-47	3.5316350e-46
79.000000	1.8292250e-46	6.3758000e-47	3.5016950e-46
79.250000	1.8180000e-46	6.3605500e-47	3.4729650e-46
79.500000	1.8069400e-46	6.3457500e-47	3.4449350e-46
79.750000	1.7959800e-46	6.3308000e-47	3.4183500e-46
80.000000	1.7850900e-46	6.3156500e-47	3.3921950e-46
80.250000	1.7742550e-46	6.3003000e-47	3.3664950e-46
80.500000	1.7634550e-46	6.2858000e-47	3.3409850e-46
80.750000	1.7527700e-46	6.2712500e-47	3.3158050e-46
81.000000	1.7423100e-46	6.2566000e-47	3.2913150e-46
81.250000	1.7317700e-46	6.2418500e-47	3.2675600e-46
81.500000	1.7215300e-46	6.2274500e-47	3.2445200e-46
81.750000	1.7114300e-46	6.2136500e-47	3.2214350e-46
82.000000	1.7015150e-46	6.1992500e-47	3.1989450e-46
82.250000	1.6916900e-46	6.1847000e-47	3.1769500e-46
82.500000	1.6819150e-46	6.1714500e-47	3.1555300e-46
82.750000	1.6722450e-46	6.1579500e-47	3.1354800e-46
83.000000	1.6626000e-46	6.1442000e-47	3.1166600e-46
83.250000	1.6530950e-46	6.1303500e-47	3.0987400e-46
83.500000	1.6437100e-46	6.1171500e-47	3.0810600e-46
83.750000	1.6343400e-46	6.1039000e-47	3.0655400e-46
84.000000	1.6251900e-46	6.0907500e-47	3.0518850e-46
84.250000	1.6161650e-46	6.0775000e-47	3.0417500e-46
84.500000	1.6071300e-46	6.0645000e-47	3.0365250e-46
84.750000	1.5984050e-46	6.0514500e-47	3.0362750e-46
85.000000	1.5894050e-46	6.0384000e-47	3.0449250e-46
85.250000	1.5808650e-46	6.0264500e-47	3.0710450e-46
85.500000	1.5724550e-46	6.0137500e-47	3.1058750e-46
85.750000	1.5639650e-46	6.0005500e-47	3.1714400e-46
86.000000	1.5557600e-46	5.9885500e-47	3.2981100e-46
86.250000	1.5474400e-46	5.9767500e-47	3.6668150e-46
86.500000	1.5392200e-46	5.9643500e-47	5.1179000e-46
86.750000	1.5310550e-46	5.9525000e-47	1.2772600e-45
87.000000	1.5229650e-46	5.9407000e-47	1.6099400e-44
87.250000	1.5150250e-46	5.9292500e-47	4.8316950e-45
87.500000	1.5071200e-46	5.9181500e-47	7.5796000e-46
87.750000	1.4992400e-46	5.9072000e-47	4.1284150e-46
88.000000	1.4915450e-46	5.8966000e-47	3.3001900e-46
88.250000	1.4838350e-46	5.8856000e-47	3.0658200e-46
88.500000	1.4761350e-46	5.8742500e-47	2.9480700e-46
88.750000	1.4686650e-46	5.8638500e-47	2.8709950e-46
89.000000	1.4609850e-46	5.8530500e-47	2.8135500e-46
89.250000	1.4534850e-46	5.8427000e-47	2.7732100e-46
89.500000	1.4461900e-46	5.8319500e-47	2.7402700e-46
89.750000	1.4389850e-46	5.8210500e-47	2.7143500e-46
90.000000	1.4316500e-46	5.8106500e-47	2.6936900e-46
90.250000	1.4245000e-46	5.8001500e-47	2.6765800e-46
90.500000	1.4173850e-46	5.7895000e-47	2.6607150e-46
90.750000	1.4104500e-46	5.7789000e-47	2.6461150e-46
91.000000	1.4034950e-46	5.7685500e-47	2.6335900e-46
91.250000	1.3965750e-46	5.7582500e-47	2.6211150e-46
91.500000	1.3897600e-46	5.7484500e-47	2.6097550e-46
91.750000	1.3829800e-46	5.7381000e-47	2.5990200e-46
92.000000	1.3761000e-46	5.7285500e-47	2.5898100e-46
92.250000	1.3693650e-46	5.7187500e-47	2.5806900e-46
92.500000	1.3627150e-46	5.7088500e-47	2.5799900e-46
92.750000	1.3561050e-46	5.7000500e-47	2.5793500e-46
93.000000	1.3495550e-46	5.6904500e-47	2.5740800e-46
93.250000	1.3431300e-46	5.6813000e-47	2.5696350e-46
93.500000	1.3367700e-46	5.6719000e-47	2.5672900e-46
93.750000	1.3304150e-46	5.6626500e-47	2.5660300e-46
94.000000	1.3242350e-46	5.6535000e-47	2.5665750e-46
94.250000	1.3179050e-46	5.6445500e-47	2.5694200e-46
94.500000	1.3116900e-46	5.6361500e-47	2.5747450e-46
94.750000	1.3055750e-46	5.6270000e-47	2.5838450e-46
95.000000	1.2993750e-46	5.6183000e-47	2.5972400e-46
95.250000	1.2933150e-46	5.6097000e-47	2.6144050e-46
95.500000	1.2873000e-46	5.6014500e-47	2.6386400e-46
95.750000	1.2813550e-46	5.5930500e-47	2.6703850e-46
96.000000	1.2754300e-46	5.5849500e-47	2.7117000e-46
96.250000	1.2695350e-46	5.5768500e-47	2.7654250e-46
96.500000	1.2638650e-46	5.5687000e-47	2.8367850e-46
96.750000	1.2581500e-46	5.5606500e-47	2.9293650e-46
97.000000	1.2523350e-46	5.5531000e-47	3.0486850e-46
97.250000	1.2466850e-46	5.5457000e-47	3.2016700e-46
97.500000	1.2410300e-46	5.5379000e-47	3.4062750e-46
97.750000	1.2354850e-46	5.5300500e-47	3.6812050e-46
98.000000	1.2300100e-46	5.5221000e-47	4.0653400e-46
98.250000	1.2244900e-46	5.5141500e-47	4.5929700e-46
98.500000	1.2190700e-46	5.5068000e-47	5.3439500e-46
98.750000	1.2136350e-46	5.4991500e-47	6.4306500e-46
99.000000	1.2083250e-46	5.4918000e-47	7.8629000e-46
99.250000	1.2030500e-46	5.4845000e-47	9.3896500e-46
