mass_1	mass_2	phase	time	distance	a_1	a_2	tilt_1	tilt_2	phi_12	phi_jl	theta_jn	psi	ra	dec
0.69066	0.60222	0.00113	0.88304	0.20332	0.01132	0.00467	0.03614	0.01455	0.00437	0.06688	0.29686	0.00528	0.95558	0.77837
0.69445	0.62297	0.00157	0.83714	0.18631	0.01251	0.00549	0.03766	0.02316	0.00282	0.07278	0.31624	0.00425	0.94335	0.76987
0.64372	0.622	0.00088	0.85089	0.19308	0.02122	0.00912	0.03135	0.01901	0.00054	0.06225	0.27766	0.00388	0.93915	0.78237
0.6589	0.59693	0.00074	0.92667	0.21282	0.00558	0.00628	0.03913	0.0169	0.00379	0.09141	0.3212	0.00483	0.92677	0.77161
0.64739	0.60113	0.00341	0.89786	0.22134	0.02642	0.00535	0.0296	0.01415	0.00111	0.06218	0.33019	0.00595	0.94126	0.75364
0.6274	0.60472	0.00076	0.87112	0.24558	0.01131	0.00465	0.04039	0.01594	0.00101	0.05355	0.25973	0.00552	0.95731	0.76253
0.58615	0.64628	0.00101	0.86463	0.236	0.0038	0.00735	0.04347	0.0099	0.00317	0.0572	0.26714	0.00486	0.97397	0.75061
0.66044	0.61458	0.00075	0.87792	0.20488	0.01963	0.0111	0.02847	0.01416	0.0041	0.07566	0.31072	0.00496	0.95056	0.78529
0.66307	0.61695	0.00084	0.87838	0.26958	0.01456	0.00772	0.04638	0.01269	0.00176	0.07912	0.24	0.00609	0.96889	0.82281
0.77961	0.64996	0.00211	0.89855	0.19994	0.01568	0.00482	0.03915	0.01541	0.00527	0.07866	0.29852	0.00422	0.96312	0.79624
0.75683	0.66616	0.00113	0.87915	0.20785	0.01592	0.00762	0.06164	0.01646	0.00088	0.07252	0.32843	0.00397	0.9327	0.8353
0.71152	0.63169	0.00066	0.83294	0.21382	0.01138	0.00761	0.06219	0.01938	0.00211	0.06752	0.32113	0.00528	0.9742	0.7954
